EntrezID	GeneName	M1value	EntrezID\GeneName	M2value
51412	ACTL6B	59	203259	FAM219A	1.29249641782
58525	WIZ	59	55165	CEP55	1.29028950587
6092	ROBO2	59	308	ANXA5	1.28832516307
7421	VDR	59	23192	ATG4B	1.28828877472
7597	ZBTB25	59	6778	STAT6	1.28719374335
7681	MKRN3	59	2810	SFN	1.2867877526
79571	GCC1	59	2495	FTH1	1.28049015916
839	CASP6	59	7077	TIMP2	1.27852735671
8668	EIF3I	59	3572	IL6ST	1.27821609486
8894	EIF2S2	59	1871	E2F3	1.27709854452
9229	DLGAP1	59	6012	RIEG2	1.27696368417
9802	DAZAP2	59	9656	MDC1	1.27655930877
10190	TXNDC9	58	9463	PICK1	1.27575230817
10293	TRAIP	58	4288	MKI67	1.27458450023
1454	CSNK1E	58	7027	TFDP1	1.27403582614
2060	EPS15	58	3611	ILK	1.27322173641
22839	DLGAP4	58	1017	CDK2	1.27181603935
27040	LAT	58	3579	CXCR2	1.27152119601
3856	KRT8	58	79686	LINC00341	1.26755780213
55872	PBK	58	54536	EXOC6	1.26666223992
5678	PSG9	58	6236	RRAD	1.2655870411
57418	WDR18	58	11338	U2AF2	1.26466760695
695	BTK	58	5859	QARS	1.26420746907
811	CALR	58	30011	SH3KBP1	1.26337014903
8655	DYNLL1	58	6923	TCEB2	1.25876541584
9472	AKAP6	58	6624	FSCN1	1.25647454627
9491	PSMF1	58	9491	PSMF1	1.25404004112
10084	PQBP1	57	162	AP1B1	1.25378674928
10915	TCERG1	57	84970	C1orf94	1.25243416367
2244	FGB	57	51608	GET4	1.24898390127
2318	FLNC	57	3689	ITGB2	1.24583387924
26146	TRAF3IP1	57	1439	CSF2RB	1.24177304886
3309	HSPA5	57	51616	TAF9B	1.24083057054
4172	MCM3	57	112950	MED8	1.23985551564
472	ATM	57	55145	THAP1	1.23708625557
55763	EXOC1	57	4001	LMNB1	1.23233202984
5708	PSMD2	57	80125	CCDC33	1.23071012289
6045	RNF2	57	118924	FRA10AC1	1.23047343249
64112	MOAP1	57	6885	MAP3K7	1.22797195205
7297	TYK2	57	54622	ARL15	1.2271836629
9070	ASH2L	57	10013	HDAC6	1.22679786142
9587	MAD2L1BP	57	9550	ATP6V1G1	1.22562973824
10551	AGR2	56	5473	PPBP	1.2177773291
11075	STMN2	56	6195	RPS6KA1	1.21025713069
1213	CLTC	56	4292	MLH1	1.20849080564
2175	FANCA	56	3735	KARS	1.20760094688
23265	EXOC7	56	841	CASP8	1.20668418135
2475	MTOR	56	81565	NDEL1	1.20638408335
2549	GAB1	56	6878	TAF6	1.20472566279
26230	TIAM2	56	63948	DMRTB1	1.20428073736
3480	IGF1R	56	4804	NGFR	1.2029372376
4233	MET	56	509	ATP5C1	1.19925900024
51150	SDF4	56	51690	LSM7	1.19849095082
55049	C19orf60	56	51497	NELFCD	1.19783239655
55611	OTUB1	56	84988	PPP1R16A	1.1962899661
57142	RTN4	56	5906	RAP1A	1.19600125198
6477	SIAH1	56	23287	AGTPBP1	1.19205987733
6607	SMN2	56	10492	SYNCRIP	1.19136208003
6908	TBP	56	6453	ITSN1	1.18953479501
728411	GUSBP1	56	51295	ECSIT	1.18861993885
79753	SNIP1	56	57670	KIAA1549	1.18757822404
8663	EIF3C	56	8518	IKBKAP	1.18568516155
9141	PDCD5	56	55294	FBXW7	1.18304727974
10036	CHAF1A	55	3054	HCFC1	1.18250318219
10040	TOM1L1	55	22803	XRN2	1.1823909059
10522	DEAF1	55	23582	CCNDBP1	1.18011146176
10944	C11orf58	55	6175	RPLP0	1.17887087949
11243	PMF1	55	114034	TOE1	1.17811754383
1459	CSNK2A2	55	9252	RPS6KA5	1.17699180967
1616	DAXX	55	3265	HRAS	1.17690618162
211	ALAS1	55	8648	NCOA1	1.17686885751
2690	GHR	55	5337	PLD1	1.17663478161
27330	RPS6KA6	55	79607	FAM118B	1.17515222525
284312	ZSCAN1	55	90933	TRIM41	1.17375549206
293	SLC25A6	55	3312	HSPA8	1.16907469321
3398	ID2	55	8431	NR0B2	1.16668779488
3643	INSR	55	9454	HOMER3	1.16619764699
3791	KDR	55	5104	SERPINA5	1.1660746083
3798	KIF5A	55	9443	MED7	1.16481503846
4171	MCM2	55	7804	LRP8	1.1647980583
51138	COPS4	55	55509	BATF3	1.16373740195
54935	DUSP23	55	993	CDC25A	1.1624337522
5518	PPP2R1A	55	6204	RPS10	1.16225605976
55299	BRIX1	55	5160	PDHA1	1.16151065239
55629	PNRC2	55	2768	GNA12	1.16068044215
5580	PRKCD	55	3717	JAK2	1.15903010913
56901	NDUFA4L2	55	71	ACTG1	1.15826107472
5799	PTPRN2	55	26128	KIAA1279	1.15802403219
6195	RPS6KA1	55	2969	GTF2I	1.15307078101
65990	FAM173A	55	23037	PDZD2	1.15268523094
7462	LAT2	55	6877	TAF5	1.15230988095
84942	WDR73	55	51729	WBP11	1.15187150174
8666	EIF3G	55	6915	TBXA2R	1.15046434047
9021	SOCS3	55	1912	PHC2	1.15039015748
10120	ACTR1B	54	473	RERE	1.14852101382
1363	CPE	54	3481	IGF2	1.14712110383
2246	FGF1	54	5792	PTPRF	1.14631915237
23199	GSE1	54	197131	UBR1	1.14496101331
23476	BRD4	54	7706	TRIM25	1.14323104692
2495	FTH1	54	5579	PRKCB	1.14270269034
27	ABL2	54	8829	NRP1	1.14182255209
3183	HNRNPC	54	10539	GLRX3	1.13757311972
3609	ILF3	54	6613	SUMO2	1.1372234276
403	ARL3	54	10589	DRAP1	1.13555418954
54477	PLEKHA5	54	10445	MCRS1	1.12768169166
56159	TEX11	54	8772	FADD	1.12639153037
7336	UBE2V2	54	51465	UBE2J1	1.1217105331
81565	NDEL1	54	3688	ITGB1	1.12162334259
8350	HIST1H3A	54	81488	POLR2M	1.12064036208
8575	PRKRA	54	8988	HSPB3	1.11938241717
9372	ZFYVE9	54	10401	PIAS3	1.11929178378
9743	ARHGAP32	54	201294	UNC13D	1.11884557315
983	CDK1	54	5909	RAP1GAP	1.11833657521
11039	SMA4	53	7335	UBE2V1	1.11781158321
1191	CLU	53	55122	AKIRIN2	1.11564849945
1287	COL4A5	53	4331	MNAT1	1.11538945966
1838	DTNB	53	3728	JUP	1.11429586301
2059	EPS8	53	3133	HLA-E	1.11355181202
2670	GFAP	53	2670	GFAP	1.10941171495
347733	TUBB2B	53	7280	TUBB2A	1.10891308616
3983	ABLIM1	53	3315	HSPB1	1.10856289401
4152	MBD1	53	468	ATF4	1.10674254615
4436	MSH2	53	6919	TCEA2	1.10625990676
4860	PNP	53	5725	PTBP1	1.10448675851
50807	ASAP1	53	4893	NRAS	1.10051024635
5424	POLD1	53	1634	DCN	1.10035836223
54437	SEMA5B	53	6233	RPS27A	1.1000834069
57062	DDX24	53	9372	ZFYVE9	1.09973812501
64946	CENPH	53	4174	MCM5	1.09557844391
79050	NOC4L	53	10301	DLEU1	1.09461688878
85440	DOCK7	53	1667	DEFA1	1.09099997295
90060	CCDC120	53	10681	GNB5	1.08921657813
9266	CYTH2	53	6938	TCF12	1.08890978937
9362	CPNE6	53	2965	GTF2H1	1.08628417286
9402	GRAP2	53	4312	MMP1	1.08461970508
1021	CDK6	52	7159	TP53BP2	1.08310037883
1397	CRIP2	52	80254	CEP63	1.08013993633
1601	DAB2	52	100	ADA	1.07569823733
166	AES	52	84273	NOA1	1.07523928618
222484	LNX2	52	23164	MPRIP	1.07380295546
22932	POMZP3	52	84080	ENKD1	1.07302660199
2317	FLNB	52	9140	ATG12	1.07041299699
2664	GDI1	52	10399	GNB2L1	1.06858013374
2887	GRB10	52	51160	VPS28	1.06835705451
3219	HOXB9	52	6810	STX4	1.06656780421
3431	SP110	52	4841	NONO	1.06565681203
3728	JUP	52	163	AP2B1	1.06513631524
3838	KPNA2	52	7791	ZYX	1.0648815121
3925	STMN1	52	23054	NCOA6	1.06344869781
4134	MAP4	52	115992	RNF166	1.06315543429
51497	NELFCD	52	23016	EXOSC7	1.06230591668
57731	SPTBN4	52	80256	FAM214B	1.06197246792
5829	PXN	52	637	BID	1.06144450353
6362	CCL18	52	10474	TADA3	1.06140039171
6430	SRSF5	52	7453	WARS	1.05889558879
6853	SYN1	52	2335	FN1	1.05538068499
7185	TRAF1	52	27258	LSM3	1.05326379417
7325	UBE2E2	52	328	APEX1	1.05243282233
7408	VASP	52	1676	DFFA	1.04921969467
80308	FLAD1	52	4791	NFKB2	1.04839396429
8241	RBM10	52	5468	PPARG	1.04605842455
868	CBLB	52	94121	SYTL4	1.0460246174
88	ACTN2	52	63893	UBE2O	1.04530577513
8853	ASAP2	52	23062	GGA2	1.0451020497
10153	CEBPZ	51	10342	TFG	1.04406140408
10273	STUB1	51	4792	NFKBIA	1.04325305535
10956	OS9	51	83637	ZMIZ2	1.04308190346
11067	C10orf10	51	7775	ZNF232	1.04294004104
11135	CDC42EP1	51	22800	RRAS2	1.04233741493
142	PARP1	51	4104	MAGEA5	1.04179551887
149371	EXOC8	51	54778	RNF111	1.04048087737
170082	TCEANC	51	57062	DDX24	1.04042517699
1857	DVL3	51	64400	AKTIP	1.03859258272
3104	ZBTB48	51	3678	ITGA5	1.03839298747
3953	LEPR	51	2159	F10	1.03343119784
4627	MYH9	51	3507	IGHM	1.03208263782
4739	NEDD9	51	6622	SNCA	1.03197695456
4905	NSF	51	10197	PSME3	1.02985275391
51534	VTA1	51	91653	BOC	1.02817696638
54474	KRT20	51	5684	PSMA3	1.02467705593
54715	RBFOX1	51	6272	SORT1	1.0237436537
5591	PRKDC	51	9111	NMI	1.02342313
57332	CBX8	51	3654	IRAK1	1.02322076373
5787	PTPRB	51	25900	IFFO1	1.02308220396
64745	METTL17	51	83878	USHBP1	1.02276502421
6637	SNRPG	51	10743	RAI1	1.02275521478
6640	SNTA1	51	5049	PAFAH1B2	1.02228429923
6919	TCEA2	51	5573	PRKAR1A	1.01985593905
79096	C11orf49	51	994	CDC25B	1.01938732948
81926	ABHD17A	51	331	XIAP	1.01916873735
10127	ZNF263	50	7013	TERF1	1.01856311079
1020	CDK5	50	1111	CHEK1	1.01761647082
1295	COL8A1	50	4488	MSX2	1.01417528898
155061	ZNF746	50	1756	DMD	1.01415241711
164592	CCDC116	50	1363	CPE	1.01357028984
25930	PTPN23	50	10156	RASA4	1.01315959263
3117	HLA-DQA1	50	2017	CTTN	1.00960080042
3216	HOXB6	50	11340	EXOSC8	1.00960018928
3550	IK	50	5465	PPARA	1.00949548707
3815	KIT	50	801	CALM1	1.00713353185
3880	KRT19	50	3551	IKBKB	1.00470758189
4067	LYN	50	2931	GSK3A	1.0034524605
51375	SNX7	50	6812	STXBP1	1.00316791839
51763	INPP5K	50	11337	GABARAP	1.00285637786
5216	PFN1	50	5901	RAN	1.00203575777
5413	SEPT5	50	3233	HOXD4	1.00190162616
55734	ZFP64	50	3737	KCNA2	1.00148071888
5664	PSEN2	50	29993	PACSIN1	0.996607878821
57542	KLHL42	50	5664	PSEN2	0.995470345907
6261	RYR1	50	391	RHOG	0.994824731604
6638	SNRPN	50	27229	TUBGCP4	0.993172063787
6642	SNX1	50	5159	PDGFRB	0.992925586075
80128	TRIM46	50	8888	MCM3AP	0.990830900302
80306	MED28	50	4701	NDUFA7	0.988969044963
81890	QTRT1	50	572	BAD	0.986499614492
8607	RUVBL1	50	9231	DLG5	0.985912915964
9228	DLGAP2	50	5770	PTPN1	0.985693126699
9282	MED14	50	10002	NR2E3	0.985690231141
10262	SF3B4	49	864	RUNX3	0.985276157778
10681	GNB5	49	3570	IL6R	0.984141124181
11266	DUSP12	49	1020	CDK5	0.982446525991
138046	RALYL	49	55093	WDYHV1	0.98197852272
1936	EEF1D	49	23774	BRD1	0.981477253059
2162	F13A1	49	3801	KIFC3	0.981241094696
2213	FCGR2B	49	6687	SPG7	0.981123633071
22929	SEPHS1	49	23517	SKIV2L2	0.980301707112
22954	TRIM32	49	7040	TGFB1	0.978241420403
23589	CARHSP1	49	1951	CELSR3	0.977550242343
2874	GPS2	49	23380	SRGAP2	0.976117130983
2975	GTF3C1	49	10541	ANP32B	0.976024163799
356	FASLG	49	5336	PLCG2	0.974303455258
4092	SMAD7	49	10163	WASF2	0.974286790442
4192	MDK	49	715	C1R	0.974216677785
5062	PAK2	49	5063	PAK3	0.973660322913
51465	UBE2J1	49	839	CASP6	0.972868925484
51545	ZNF581	49	8764	TNFRSF14	0.970828879944
5473	PPBP	49	8936	WASF1	0.970564029074
5585	PKN1	49	9796	PHYHIP	0.970503246277
57596	BEGAIN	49	2874	GPS2	0.968743677322
6628	SNRPB	49	1213	CLTC	0.968697712233
7375	USP4	49	8614	STC2	0.967671045034
79088	ZNF426	49	138065	RNF183	0.964516201232
79885	HDAC11	49	7450	VWF	0.963742842655
8570	KHSRP	49	55333	SYNJ2BP	0.962230287145
8928	FOXH1	49	7456	WIPF1	0.960736485112
92595	ZNF764	49	9343	EFTUD2	0.95978078808
10278	EFS	48	4800	NFYA	0.958606573738
1051	CEBPB	48	3839	KPNA3	0.957691521161
11100	HNRNPUL1	48	2549	GAB1	0.955965247106
114928	GPRASP2	48	472	ATM	0.955863274898
114971	PTPMT1	48	8878	SQSTM1	0.955493776346
163033	ZNF579	48	7436	VLDLR	0.954620609461
170961	ANKRD24	48	9500	MAGED1	0.953927659416
1786	DNMT1	48	22839	DLGAP4	0.952614465968
1869	E2F1	48	25897	RNF19A	0.952572274108
1951	CELSR3	48	10379	IRF9	0.951862450972
213	ALB	48	9448	MAP4K4	0.95179992579
23013	SPEN	48	11345	GABARAPL2	0.951737512487
26003	GORASP2	48	84445	LZTS2	0.949707952782
2639	GCDH	48	5604	MAP2K1	0.948238255078
3326	HSP90AB1	48	3716	JAK1	0.948196094985
3611	ILK	48	10273	STUB1	0.947634632158
3661	IRF3	48	9246	UBE2L6	0.944439876571
4005	LMO2	48	81620	CDT1	0.943256919354
4591	TRIM37	48	3480	IGF1R	0.943118113535
4846	NOS3	48	8676	STX11	0.942569931187
4851	NOTCH1	48	51684	SUFU	0.942088313677
4893	NRAS	48	10112	KIF20A	0.94099722037
51019	CCDC53	48	51617	HMP19	0.940487685699
51322	WAC	48	84171	LOXL4	0.940312996959
5267	SERPINA4	48	7128	TNFAIP3	0.940156406295
54550	NECAB2	48	5345	SERPINF2	0.940062260422
55145	THAP1	48	55662	HIF1AN	0.938982285214
55577	NAGK	48	23557	SNAPIN	0.938833723739
55819	RNF130	48	2623	GATA1	0.935072525232
56975	FAM20C	48	4005	LMO2	0.933995080005
57761	TRIB3	48	55885	LMO3	0.930145361231
64400	AKTIP	48	6497	SKI	0.929457443425
65080	MRPL44	48	22806	IKZF3	0.927690515338
65220	NADK	48	5292	PIM1	0.926725901784
79025	C20orf195	48	100131997	FAM27E3	0.922788489779
7918	GPANK1	48	2091	FBL	0.922083256061
79738	BBS10	48	1969	EPHA2	0.921912849968
8751	ADAM15	48	1838	DTNB	0.91902025073
890	CCNA2	48	5796	PTPRK	0.91884159002
9240	PNMA1	48	3714	JAG2	0.918795418049
9463	PICK1	48	3339	HSPG2	0.917506570899
10287	RGS19	47	5783	PTPN13	0.917491117117
11059	WWP1	47	4223	MEOX2	0.917483419121
11184	MAP4K1	47	10093	ARPC4	0.917183523188
1434	CSE1L	47	23468	CBX5	0.917070400389
1447	CSN2	47	27161	AGO2	0.916856573653
22983	MAST1	47	7089	TLE2	0.916501165467
23136	EPB41L3	47	84289	ING5	0.915657070894
23551	RASD2	47	29089	UBE2T	0.913578595522
2810	SFN	47	10982	MAPRE2	0.913133821276
3091	HIF1A	47	10008	KCNE3	0.912511081997
326	AIRE	47	5430	POLR2A	0.912268089217
3303	HSPA1A	47	81539	SLC38A1	0.911471583974
439	ASNA1	47	79842	ZBTB3	0.911123663026
5013	OTX1	47	10015	PDCD6IP	0.910690230528
5296	PIK3R2	47	51776	ZAK	0.909849984316
54149	C21orf91	47	657	BMPR1A	0.909731570469
5515	PPP2CA	47	3880	KRT19	0.909450936077
57002	YAE1D1	47	10084	PQBP1	0.908730562003
57664	PLEKHA4	47	4811	NID1	0.908622671881
5861	RAB1A	47	51691	LSM8	0.907149357922
5888	RAD51	47	145781	GCOM1	0.90614004949
5911	RAP2A	47	5787	PTPRB	0.905924740107
6048	RNF5	47	5908	RAP1B	0.905358119574
6183	MRPS12	47	3560	IL2RB	0.904048553402
6944	VPS72	47	4437	MSH3	0.903116064736
81576	CCDC130	47	203068	TUBB	0.902606742342
84105	PCBD2	47	23201	FAM168A	0.900768502419
8417	STX7	47	11170	FAM107A	0.900500963679
8841	HDAC3	47	51013	EXOSC1	0.899517266401
8871	SYNJ2	47	54882	ANKHD1	0.898877139297
9103	FCGR2C	47	23321	TRIM2	0.898082352254
1029	CDKN2A	46	11065	UBE2C	0.898059535163
1054	CEBPG	46	23265	EXOC7	0.898026377807
1407	CRY1	46	7430	EZR	0.897991638635
2275	FHL3	46	23082	PPRC1	0.897983277768
23281	MTUS2	46	23019	CNOT1	0.897592486481
2516	NR5A1	46	5598	MAPK7	0.897533377271
25942	SIN3A	46	57326	PBXIP1	0.896957375565
30827	CXXC1	46	10542	LAMTOR5	0.896842037097
3198	HOXA1	46	128866	CHMP4B	0.893983513603
344148	NCKAP5	46	7415	VCP	0.892606173517
387	RHOA	46	5530	PPP3CA	0.89253087485
4035	LRP1	46	22932	POMZP3	0.892273934009
4097	MAFG	46	3727	JUND	0.892160038964
4130	MAP1A	46	3014	H2AFX	0.891195875474
4509	ATP8	46	5728	PTEN	0.891160874278
468	ATF4	46	50848	F11R	0.890622886385
5089	PBX2	46	9368	SLC9A3R1	0.889869933559
5093	PCBP1	46	3566	IL4R	0.889734793717
51160	VPS28	46	2175	FANCA	0.888839945871
51433	ANAPC5	46	1789	DNMT3B	0.887838891513
51569	UFM1	46	23523	CABIN1	0.887670818597
5349	FXYD3	46	10607	TBL3	0.885038325198
5511	PPP1R8	46	51421	AMOTL2	0.884322796318
5530	PPP3CA	46	54474	KRT20	0.883290382831
56647	BCCIP	46	8775	NAPA	0.883028533818
5793	PTPRG	46	10921	RNPS1	0.882389996612
5932	RBBP8	46	26278	SACS	0.879833579241
6258	RXRG	46	6130	RPL7A	0.879795674132
6311	ATXN2	46	23654	PLXNB2	0.879154110639
6655	SOS2	46	54715	RBFOX1	0.879100513495
6872	TAF1	46	27183	VPS4A	0.878832294983
7080	NKX2-1	46	6769	STAC	0.876352070141
7167	TPI1	46	81552	VOPP1	0.87583944506
7332	UBE2L3	46	9260	PDLIM7	0.875177165407
7511	XPNPEP1	46	7320	UBE2B	0.874896938626
7750	ZMYM2	46	8662	EIF3B	0.874068558837
79364	ZXDC	46	55160	ARHGEF10L	0.873715127401
79696	ZC2HC1C	46	5824	PEX19	0.873586328535
8738	CRADD	46	4602	MYB	0.873224235179
8867	SYNJ1	46	10538	BATF	0.872626143474
8997	KALRN	46	57596	BEGAIN	0.872540472288
9020	MAP3K14	46	2203	FBP1	0.872414934515
9099	USP2	46	8359	HIST1H4A	0.872197790134
93974	ATPIF1	46	5867	RAB4A	0.871704745491
9793	CKAP5	46	54505	DHX29	0.87133097885
10062	NR1H3	45	5147	PDE6D	0.87024523828
10567	RABAC1	45	1233	CCR4	0.869787732936
11338	U2AF2	45	3815	KIT	0.868932856895
11340	EXOSC8	45	7319	UBE2A	0.867635180493
1605	DAG1	45	5660	PSAP	0.867228005817
1906	EDN1	45	3985	LIMK2	0.867120444995
2137	EXTL3	45	3191	HNRNPL	0.865514005172
22993	HMGXB3	45	201895	SMIM14	0.865059829155
23327	NEDD4L	45	84466	MEGF10	0.864803719448
23468	CBX5	45	1622	DBI	0.864046658995
25934	NIPSNAP3A	45	7353	UFD1L	0.862995122876
26019	UPF2	45	4689	NCF4	0.861539483626
26292	MYCBP	45	90678	LRSAM1	0.856747570355
2889	RAPGEF1	45	4904	YBX1	0.856670384083
3096	HIVEP1	45	9551	ATP5J2	0.856580739318
329	BIRC2	45	5424	POLD1	0.856333310983
3837	KPNB1	45	6502	SKP2	0.854436581923
4091	SMAD6	45	8655	DYNLL1	0.853669850609
4174	MCM5	45	26227	PHGDH	0.853152777589
4638	MYLK	45	23184	MESDC2	0.852970156747
509	ATP5C1	45	10946	SF3A3	0.852456068855
51225	ABI3	45	648	BMI1	0.852454406001
51691	LSM8	45	6844	VAMP2	0.851367208702
54810	GIPC2	45	329	BIRC2	0.850987264141
55743	CHFR	45	26088	GGA1	0.850659783313
5586	PKN2	45	79723	SUV39H2	0.850438376454
5783	PTPN13	45	8945	BTRC	0.850342148378
6548	SLC9A1	45	208	AKT2	0.849664308006
79890	RIN3	45	7021	TFAP2B	0.849484944288
83541	FAM110A	45	7336	UBE2V2	0.847200820625
8525	DGKZ	45	27257	LSM1	0.846529155002
8665	EIF3F	45	2023	ENO1	0.843667707593
9784	SNX17	45	22985	ACIN1	0.843599262351
10014	HDAC5	44	7124	TNF	0.841763627156
10169	SERF2	44	467	ATF3	0.839862541076
10618	TGOLN2	44	7314	UBB	0.83957843666
10921	RNPS1	44	3182	HNRNPAB	0.83917505927
11060	WWP2	44	10419	PRMT5	0.838643111467
11127	KIF3A	44	5793	PTPRG	0.838420551612
14	AAMP	44	84277	DNAJC30	0.838110966485
1793	DOCK1	44	84959	UBASH3B	0.836811744382
183	AGT	44	6872	TAF1	0.836688470937
2192	FBLN1	44	868	CBLB	0.836670939031
22800	RRAS2	44	7048	TGFBR2	0.836654768519
23787	MTCH1	44	7862	BRPF1	0.836469805772
25764	HYPK	44	54507	ADAMTSL4	0.836217665223
27301	APEX2	44	1965	EIF2S1	0.834393844086
2804	GOLGB1	44	3821	KLRC1	0.833679459615
328	APEX1	44	3553	IL1B	0.83353122823
3726	JUNB	44	5576	PRKAR2A	0.833371569879
3912	LAMB1	44	81	ACTN4	0.833283664377
4582	MUC1	44	4298	MLLT1	0.833229077274
4605	MYBL2	44	80304	C2orf44	0.832840403368
50618	ITSN2	44	8290	HIST3H3	0.832672315634
51304	ZDHHC3	44	7414	VCL	0.832397781388
5607	MAP2K5	44	3937	LCP2	0.830318689909
5819	PVRL2	44	88	ACTN2	0.829042946806
64129	TINAGL1	44	51621	KLF13	0.828447250772
6449	SGTA	44	8837	CFLAR	0.826288851762
6890	TAP1	44	8996	NOL3	0.825495762812
758	MPPED1	44	27316	RBMX	0.82524987626
79152	FA2H	44	1605	DAG1	0.825202852308
79760	GEMIN7	44	10534	SSSCA1	0.824902333166
8431	NR0B2	44	5267	SERPINA4	0.824301985534
9826	ARHGEF11	44	26003	GORASP2	0.824288324056
1	A1BG	43	9021	SOCS3	0.823655446384
10724	MGEA5	43	3301	DNAJA1	0.822320465957
10755	GIPC1	43	3486	IGFBP3	0.821674053097
11189	CELF3	43	30012	TLX3	0.821621803634
11345	GABARAPL2	43	350	APOH	0.82121917802
128853	DUSP15	43	25788	RAD54B	0.820286159101
1399	CRKL	43	636	BICD1	0.820278765219
140545	RNF32	43	1410	CRYAB	0.819580028906
1508	CTSB	43	10939	AFG3L2	0.819511362861
1748	DLX4	43	10048	RANBP9	0.819321601136
2023	ENO1	43	11180	WDR6	0.818770537917
2185	PTK2B	43	149371	EXOC8	0.818186914334
22941	SHANK2	43	645455	CEP170P1	0.817783179281
22948	CCT5	43	3225	HOXC9	0.816949443928
23420	NOMO1	43	5933	RBL1	0.815575686672
2353	FOS	43	7167	TPI1	0.814790285337
2550	GABBR1	43	7718	ZNF165	0.81392047611
26036	ZNF451	43	2902	GRIN1	0.813625469474
284086	NEK8	43	79735	TBC1D17	0.81354101458
2904	GRIN2B	43	22929	SEPHS1	0.81348105246
29998	GLTSCR1	43	19	ABCA1	0.812963574048
30011	SH3KBP1	43	3798	KIF5A	0.812818951807
331	XIAP	43	1029	CDKN2A	0.812565289056
3845	KRAS	43	10087	COL4A3BP	0.811807868419
4654	MYOD1	43	5071	PARK2	0.811100449992
4809	NHP2L1	43	81926	ABHD17A	0.810755838747
55274	PHF10	43	9212	AURKB	0.809931509512
55558	PLXNA3	43	2057	EPOR	0.80928378672
5590	PRKCZ	43	4720	NDUFS2	0.808698883648
567	B2M	43	10818	FRS2	0.808576628936
56955	MEPE	43	83759	RBM4B	0.808450374918
58512	DLGAP3	43	57169	ZNFX1	0.808434485215
64714	PDIA2	43	3643	INSR	0.808427633382
6633	SNRPD2	43	160	AP2A1	0.808042195543
6745	SSR1	43	9349	RPL23	0.80741745766
7203	CCT3	43	7515	XRCC1	0.806672085441
7538	ZFP36	43	7529	YWHAB	0.806472467683
7694	ZNF135	43	8379	MAD1L1	0.80587281838
79842	ZBTB3	43	23327	NEDD4L	0.804966221003
79960	JADE1	43	7106	TSPAN4	0.804341871409
81794	ADAMTS10	43	728116	ZBTB8B	0.804184139891
831	CAST	43	4233	MET	0.803190814992
85358	SHANK3	43	2634	GBP2	0.801418835629
